@relation 'generators.SEAGenerator -f 2 -i 2'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data
1.37617,7.339527,6.104824,groupA
4.481629,2.177602,4.27098,groupB
3.452103,4.56306,2.894612,groupA
0.440491,5.138214,9.388722,groupA
9.932481,3.540742,2.823347,groupB
8.903044,0.123567,6.793509,groupB
7.914038,2.548497,2.722515,groupB
1.701588,3.411495,2.967097,groupA
3.832949,4.673223,3.041465,groupA
7.139307,7.848527,4.546099,groupB
3.606711,2.209227,3.33705,groupA
8.93852,6.809924,0.888439,groupB
7.78699,0.808998,0.386684,groupA
7.772333,1.830701,7.815432,groupB
8.461548,5.4836,2.023162,groupB
2.076897,7.065654,4.240187,groupB
9.259973,4.773283,8.608961,groupB
8.753174,3.259611,4.751129,groupB
4.701695,8.080493,4.751942,groupB
8.819057,5.407624,9.548304,groupB
2.090669,1.160224,4.745812,groupA
1.639048,7.382197,4.708797,groupB
9.203354,5.832191,1.400687,groupB
7.748732,8.396483,7.769979,groupB
1.994997,8.310597,9.294282,groupA
8.498431,2.940722,3.415497,groupB
2.530384,3.707748,7.082498,groupA
4.718486,4.524472,1.603894,groupB
1.825873,1.202588,8.236128,groupA
0.606651,7.994535,3.308734,groupA
0.965876,5.22217,9.280801,groupA
6.915047,9.600879,1.014073,groupB
8.540983,1.921803,7.085504,groupB
9.040955,7.490528,1.309501,groupA
6.177896,5.33081,9.006261,groupB
9.969236,8.165028,1.846762,groupB
8.209648,5.239336,6.410682,groupB
9.287951,8.540243,7.027443,groupB
0.213559,6.760581,2.011892,groupA
6.447649,4.462328,4.665767,groupB
1.169997,0.706547,7.782722,groupA
8.015392,3.320849,5.76052,groupB
1.903996,4.828506,4.710907,groupA
9.472073,1.027118,5.410927,groupB
6.325771,2.784739,1.178034,groupA
6.220587,0.406976,1.910284,groupA
1.91427,4.456015,2.678879,groupA
7.718007,9.750379,2.886381,groupB
2.33918,4.924038,0.455677,groupB
0.504582,0.943913,1.823359,groupA
2.362178,1.720225,6.168793,groupA
9.022526,9.050769,1.318219,groupB
8.517208,7.588775,4.685044,groupB
2.658304,0.8919,8.295002,groupA
7.777409,0.901052,2.949819,groupA
9.87985,8.962855,6.911891,groupB
9.981974,9.240663,5.45013,groupB
6.97679,8.326879,7.705558,groupA
4.140534,2.688846,9.867455,groupA
9.534744,1.624302,2.334168,groupB
9.333606,0.824023,5.53122,groupB
7.601757,0.914524,1.147759,groupA
3.636387,4.708598,9.026773,groupA
6.732509,8.770586,0.906844,groupB
0.622545,0.780781,2.886035,groupA
3.061065,2.839927,2.053558,groupA
3.729063,7.584701,5.478673,groupB
7.70179,6.886477,5.813095,groupA
4.806946,8.832436,7.035991,groupA
8.325123,9.051844,9.323465,groupB
9.210039,7.799449,1.141515,groupB
8.103435,9.042067,8.284247,groupA
8.833593,2.320731,7.819079,groupB
2.90235,3.26368,9.348198,groupA
6.324739,8.067473,4.661593,groupB
3.664568,5.049927,1.275504,groupA
1.494513,0.761266,0.102548,groupA
6.484873,2.057815,5.609239,groupA
5.127916,0.929468,1.593354,groupB
2.440246,6.280475,1.993328,groupA
7.817526,9.24148,2.153179,groupB
6.636832,2.198655,6.738093,groupA
3.379805,6.927741,1.095792,groupB
1.2323,1.594941,2.462829,groupA
3.081841,3.536564,0.731659,groupA
9.164667,0.124937,4.458659,groupB
5.942299,3.823237,9.07046,groupB
3.992137,7.698098,3.497754,groupB
6.838227,3.318193,6.995043,groupB
4.764295,9.033938,1.157031,groupB
3.480382,2.702112,7.928066,groupA
7.105661,2.543984,4.554054,groupB
4.379313,0.929336,4.436124,groupA
1.915382,9.178886,2.810767,groupB
3.87515,3.947102,6.927728,groupA
5.587415,8.983289,2.325112,groupB
6.865423,3.075458,2.432892,groupB
7.86813,4.384166,9.526589,groupB
7.011628,5.455651,6.092105,groupB
2.39938,7.826164,1.105655,groupB
4.274613,9.963542,6.691317,groupA
6.991867,2.467854,1.311654,groupB
6.26115,5.308007,0.213345,groupB
6.578402,3.082629,1.164151,groupB
6.115903,9.274727,4.699997,groupB
9.244929,8.593417,7.237754,groupB
8.122337,5.552619,6.423115,groupB
2.544333,5.977203,0.090797,groupA
0.619239,1.596796,0.12951,groupA
4.568116,9.616462,8.617755,groupA
0.048306,5.705559,0.542901,groupA
5.026875,0.02608,0.51949,groupA
2.185637,5.125964,3.349666,groupA
0.554461,9.531516,0.935427,groupB
7.745982,7.871233,0.139837,groupB
0.369844,4.094274,4.165631,groupA
1.130801,3.473756,5.445443,groupA
7.730106,3.159811,0.25883,groupB
9.305546,7.593264,9.413972,groupA
3.64268,8.965473,1.904204,groupB
7.164078,4.028381,3.421847,groupB
6.587116,8.472744,0.897234,groupB
8.866876,9.240491,6.104298,groupB
1.825117,1.076406,6.980043,groupA
5.183851,0.608831,3.927892,groupA
3.500631,0.356429,5.774904,groupA
6.462085,4.120887,9.235792,groupA
0.365118,3.176755,9.458889,groupA
6.506713,3.045498,9.622531,groupB
4.669772,7.348871,6.00318,groupB
9.83924,6.886837,9.295029,groupB
4.394423,9.729995,4.977099,groupA
1.840496,5.098964,5.166714,groupB
2.043048,1.799595,3.51532,groupA
4.966255,8.033433,7.21774,groupA
6.79112,6.794007,6.731528,groupB
1.51419,7.907705,1.265645,groupB
7.092336,6.107914,0.43524,groupA
3.373629,0.375695,3.14237,groupA
4.79388,4.305259,2.689934,groupB
9.638073,8.398919,3.807141,groupB
4.520928,8.004706,1.599327,groupB
0.20186,6.893214,0.317032,groupA
0.906237,8.498313,8.135681,groupB
9.026121,5.110852,8.143144,groupB
1.236056,5.286936,5.826059,groupA
7.799283,8.917712,8.774861,groupB
5.008349,4.453348,9.046767,groupB
3.504671,9.310609,4.232867,groupB
6.858171,0.746068,6.086499,groupA
6.838038,3.570027,9.690126,groupB
4.763858,2.277138,3.325195,groupA
0.384905,8.642304,8.592533,groupB
1.821018,6.221698,5.593526,groupA
3.392647,9.981767,6.813651,groupB
4.135189,4.455101,2.634155,groupA
3.714301,7.644656,1.756698,groupB
1.849237,7.449686,3.391581,groupB
4.313961,6.110467,0.524001,groupB
2.885081,8.699965,7.381891,groupB
4.859713,3.016294,1.822059,groupA
2.864084,9.567887,9.653048,groupB
9.9314,3.916591,2.127175,groupB
7.847304,7.871292,5.245604,groupB
1.022045,7.506525,3.282354,groupA
5.711721,4.419344,3.402213,groupB
7.872644,5.9509,7.742621,groupB
3.21608,1.923494,0.308326,groupA
0.543009,0.638268,7.032331,groupA
3.549832,1.998138,7.591941,groupA
2.190011,2.730121,8.921327,groupA
7.571133,2.500555,5.357051,groupB
1.035504,5.341188,9.473232,groupA
7.253561,8.081444,2.619269,groupB
0.458482,7.979661,9.890515,groupA
9.481774,7.844817,5.850975,groupB
8.24178,0.04335,2.039131,groupA
2.265925,1.065979,6.720423,groupA
7.836958,9.310447,2.690661,groupB
7.695912,8.704961,6.422728,groupB
9.482413,6.239452,4.223731,groupB
8.344772,2.779821,2.938436,groupB
0.881044,0.182545,2.48955,groupA
1.714057,7.463525,2.14986,groupB
1.082877,2.266905,3.955728,groupA
6.540617,9.292324,8.181276,groupB
7.125405,6.194495,6.894119,groupB
1.288781,5.774586,9.074342,groupA
8.325269,7.565681,5.675997,groupB
3.338661,8.934892,1.427919,groupB
5.923051,4.521675,8.346634,groupB
0.609805,6.593814,5.118862,groupA
4.436669,5.505597,4.033972,groupB
3.543966,0.53204,9.505334,groupA
5.888252,0.500363,5.744121,groupA
2.885959,6.051221,1.433481,groupA
0.652382,1.710823,6.159717,groupA
2.480055,6.602262,9.631042,groupB
8.533338,4.30135,5.659204,groupB
1.188325,8.585207,9.806664,groupB
7.335461,3.315214,7.992005,groupB
6.175651,4.617636,5.642506,groupB
2.655123,3.836469,0.210761,groupA
0.963465,5.017709,7.8116,groupA
9.940717,9.70627,6.254835,groupB
0.168168,6.624071,7.533818,groupA
0.895997,6.565482,5.321993,groupA
1.969855,0.665618,5.271445,groupB
7.822879,8.866926,2.072422,groupA
3.561095,0.154005,2.578145,groupA
7.203008,2.885449,2.243264,groupB
2.661533,7.483207,3.073875,groupB
6.639461,4.553232,0.686874,groupB
3.209277,4.662093,7.386375,groupA
0.004797,1.049771,6.582743,groupA
7.58621,6.913023,4.7232,groupA
0.617733,7.246544,3.678224,groupA
2.013942,0.152642,8.162144,groupA
1.533907,7.933016,2.29871,groupB
9.245076,5.356031,7.882712,groupB
2.06424,7.428924,0.961754,groupB
6.899516,2.434774,6.053497,groupB
4.397358,9.877743,5.126121,groupB
5.361564,1.692124,4.845709,groupA
6.110579,9.431707,3.724945,groupB
3.196768,0.945718,3.733213,groupA
5.14194,2.871742,7.543456,groupA
2.628275,1.294533,8.913598,groupA
6.320421,1.425052,1.531822,groupA
7.92059,5.451141,1.493313,groupB
3.916446,4.543341,9.784288,groupA
9.965885,6.65993,6.305919,groupB
5.033516,5.419868,5.825824,groupA
0.323219,1.509825,7.513376,groupB
4.489093,1.156993,2.555554,groupA
1.074557,4.762812,7.950478,groupA
3.389979,6.15566,2.857024,groupB
2.611379,7.442673,9.324542,groupB
9.766157,8.763721,3.37917,groupB
4.745419,2.149291,1.491692,groupA
3.153488,0.005278,5.092914,groupA
0.793607,7.956154,6.577802,groupA
1.852825,7.827031,1.006876,groupB
5.903918,2.691879,4.519766,groupB
2.619882,2.440612,5.98495,groupA
7.195912,8.539959,9.241503,groupB
9.718642,7.51447,9.695646,groupB
3.774135,9.881976,5.489572,groupB
5.036643,2.916112,6.690568,groupA
4.642324,6.508359,8.472668,groupB
1.140478,8.021528,5.641522,groupB
0.697791,6.058232,8.411563,groupA
1.641001,9.327551,9.220731,groupB
3.003298,7.024155,8.272429,groupB
3.102399,3.975443,2.2665,groupA
5.04695,8.542972,2.222445,groupB
5.316055,5.423228,1.318697,groupB
2.599253,7.791267,6.25881,groupA
7.884524,7.442542,4.892503,groupA
0.087308,6.240614,1.063613,groupA
1.225055,5.959389,8.092541,groupA
4.607788,3.203959,8.550468,groupA
2.166093,7.218954,1.519114,groupB
2.550033,6.76527,9.512631,groupB
9.967392,8.11998,1.531768,groupB
5.42869,5.693079,1.901536,groupB
7.439347,9.899238,7.69156,groupB
6.744056,1.002059,8.347968,groupA
7.753094,8.225959,5.140714,groupB
2.147191,8.627037,1.378066,groupB
0.562206,4.263053,4.890552,groupB
3.195428,9.529447,4.619206,groupB
8.856872,9.34787,9.215501,groupB
7.508134,5.440649,2.507001,groupB
9.394384,1.462421,3.427383,groupB
2.663099,9.368173,1.802297,groupA
3.822584,4.757645,6.068262,groupA
0.845473,4.430515,6.914259,groupA
6.032734,0.591154,9.76178,groupB
3.7967,3.874991,5.519,groupA
4.273113,0.705707,0.646726,groupB
2.345582,7.841871,1.923168,groupA
7.40011,9.827211,1.595392,groupB
4.23625,7.533895,0.787223,groupB
2.061129,8.625432,3.487839,groupB
0.97043,9.168368,9.800735,groupB
2.90455,3.405288,1.493449,groupA
3.389239,8.150324,2.858952,groupA
8.289258,5.230382,1.352907,groupB
5.907861,9.901187,6.678433,groupB
1.972462,1.24195,5.457602,groupB
9.959299,4.22985,4.428023,groupB
1.443409,0.105945,8.884956,groupA
0.099916,8.924247,5.46635,groupB
0.714912,1.733758,8.464781,groupA
7.263347,5.796116,3.10321,groupB
4.624005,5.175181,8.466338,groupB
5.2438,6.203643,0.123574,groupB
9.397976,5.808696,5.994024,groupB
4.90006,3.715694,9.513484,groupA
9.32392,2.051711,7.489539,groupB
6.650168,0.926476,9.711108,groupA
8.188006,7.05502,2.82376,groupB
1.080138,9.861521,4.93153,groupB
8.179958,9.837026,3.434022,groupB
4.934908,0.589902,1.972763,groupA
2.60601,5.095442,6.577415,groupB
7.274864,7.741711,8.776658,groupB
6.001608,2.776001,9.507659,groupA
9.137362,6.22765,5.469456,groupA
6.871315,7.328084,9.650941,groupB
6.379786,8.095564,8.416286,groupB
7.634967,9.59687,2.797792,groupB
2.39253,3.709076,2.206967,groupA
9.806105,3.822429,5.1411,groupB
9.639272,4.431237,3.171714,groupB
1.923529,1.918263,4.612552,groupA
9.598618,7.294486,5.389043,groupB
6.015961,6.235798,8.420873,groupA
2.66856,0.535988,9.913552,groupA
3.346887,0.237889,9.300203,groupA
4.9443,9.038159,8.508119,groupB
3.807651,9.894737,9.134957,groupB
0.29452,2.085306,1.88803,groupA
0.613147,2.500273,4.728799,groupA
1.991222,2.574273,7.03497,groupA
9.748086,8.050844,9.014228,groupB
6.085585,2.035429,4.949463,groupA
4.404471,1.693996,9.800295,groupA
7.014023,7.896348,5.035052,groupB
9.245673,4.250541,9.277577,groupB
9.544405,9.397258,4.907145,groupA
3.07494,7.314809,2.965806,groupB
7.218951,2.262458,9.140829,groupB
9.228732,6.825328,0.090399,groupB
0.402175,1.119884,6.666236,groupA
4.916856,7.656595,0.399278,groupB
4.49796,2.859441,7.432229,groupA
6.430697,3.879255,1.012978,groupB
0.408005,0.488872,4.910102,groupA
1.780464,9.907761,4.066498,groupA
5.701926,7.591632,2.3767,groupB
6.337543,6.583328,0.374469,groupB
2.796075,3.967013,8.612951,groupA
0.581382,6.930384,2.779774,groupA
5.676798,8.793999,4.479915,groupB
9.222293,7.935984,7.668139,groupB
4.301861,3.540897,8.282215,groupA
4.382051,9.721249,3.934382,groupB
6.111522,9.995362,6.590587,groupB
1.441019,6.861828,3.34406,groupA
4.469883,8.121877,7.82439,groupB
2.204232,4.079406,9.053205,groupA
3.676437,1.482867,0.74949,groupA
0.19503,8.138529,6.583046,groupA
9.050919,5.589714,8.839206,groupB
9.02885,7.459443,2.686932,groupB
5.034436,6.471033,8.403593,groupB
6.018968,5.298916,2.92077,groupB
4.747376,4.835322,7.226932,groupB
3.170678,5.742433,5.388479,groupA
4.602049,5.503149,7.020194,groupB
9.422225,0.580409,8.947784,groupB
9.370768,3.298169,2.713142,groupB
4.575911,0.420455,7.255493,groupA
6.910089,3.374058,8.400492,groupB
1.323124,6.009202,2.077489,groupA
6.783427,1.615262,5.443716,groupA
2.871443,0.02217,7.36111,groupA
8.018671,5.644644,6.043668,groupB
3.446999,6.728162,5.731641,groupB
8.684368,0.182442,8.588521,groupA
0.080538,8.406769,5.811665,groupA
6.603107,2.721512,5.956138,groupB
6.829882,9.214888,7.767061,groupA
3.462643,7.723726,7.041972,groupB
7.788991,9.565641,2.315437,groupB
2.437956,9.721234,0.510232,groupB
8.44181,6.693435,5.927046,groupA
5.79472,4.888159,4.168352,groupB
8.771156,8.883346,7.247417,groupB
8.427737,2.866481,1.974529,groupB
7.024394,4.016957,4.259388,groupB
3.438817,4.932586,7.173632,groupA
6.332295,4.353533,6.073634,groupA
7.894509,5.129644,7.77592,groupB
6.176754,7.880145,9.356594,groupB
0.530584,2.657776,7.376986,groupA
2.152454,5.296679,4.570912,groupA
5.333583,9.12506,5.491133,groupB
2.016252,2.294446,2.843213,groupA
9.581719,3.868471,1.406043,groupB
2.58092,7.804124,3.053682,groupB
0.556569,6.949466,2.05188,groupA
3.223575,6.804253,4.504255,groupB
9.015583,3.117591,9.37093,groupB
0.07656,4.899691,1.402323,groupA
0.292172,9.596212,9.20044,groupB
6.637302,7.510813,8.905464,groupA
5.349751,2.732464,4.322787,groupA
7.859012,9.572872,0.274538,groupB
0.614638,1.755287,9.337807,groupA
2.816475,1.268473,2.232293,groupA
1.681724,1.936569,5.930839,groupB
2.463562,2.046552,5.763662,groupA
8.691415,7.010334,1.519503,groupB
4.010065,7.684889,7.645168,groupB
8.796369,0.072722,9.195338,groupA
7.507046,0.391565,6.830209,groupA
4.427966,8.626193,3.398662,groupB
4.972435,4.146484,8.833299,groupB
5.556572,1.770493,4.247289,groupA
7.895655,9.728077,5.053924,groupB
5.750089,8.975625,8.784587,groupB
3.100625,6.949941,7.110608,groupB
9.04522,6.618277,5.684472,groupB
3.353963,8.441375,1.205485,groupB
5.082642,7.089924,2.539021,groupB
3.842915,8.790994,6.642108,groupB
6.699015,9.203779,3.48996,groupB
3.537745,6.112556,0.4856,groupB
6.607098,6.462038,0.60186,groupB
5.482713,4.977895,1.867513,groupB
6.133302,2.94983,3.126067,groupB
0.214589,3.092031,9.284582,groupA
2.126374,0.928346,6.82196,groupA
1.825439,9.527258,7.395319,groupB
8.94177,9.137632,9.864235,groupA
9.753351,4.038484,8.330898,groupB
8.820287,3.770795,4.23438,groupB
4.440142,8.086758,2.412727,groupB
2.123488,9.988431,3.489103,groupB
7.246983,0.364701,6.069964,groupA
1.293851,6.897905,3.709467,groupA
7.707702,8.828435,2.676458,groupB
1.319452,6.247036,0.111218,groupA
1.388145,9.774801,9.085757,groupB
7.527199,2.583158,0.206483,groupB
9.622611,0.077823,4.441937,groupA
9.327154,7.925519,0.564422,groupB
2.201644,5.189097,3.982145,groupA
8.522928,8.483172,6.868939,groupB
1.048492,5.591417,7.122767,groupA
8.719293,4.740399,1.596636,groupB
5.984498,2.920894,4.107012,groupA
2.475239,7.965355,1.042982,groupB
2.74529,4.76523,8.261683,groupB
0.354626,6.297882,0.35096,groupA
8.479256,8.425675,0.152261,groupB
9.485686,6.803514,8.095435,groupB
7.118843,6.441534,3.594972,groupB
8.387218,2.704522,2.260993,groupB
7.168925,2.062764,2.412844,groupB
3.521271,5.42724,8.234423,groupA
4.285507,5.763993,2.00501,groupB
4.525623,3.428658,1.951899,groupA
1.485933,1.711714,4.347748,groupA
6.219767,3.732427,5.941872,groupA
6.033492,4.191814,5.224269,groupB
8.955273,5.80385,9.767857,groupB
9.120314,0.733381,8.15889,groupB
7.030776,5.290499,9.130981,groupB
7.780225,2.393607,2.866772,groupB
5.923796,7.410591,8.576388,groupB
2.034674,0.465439,8.087441,groupA
6.244181,6.165969,6.729511,groupB
6.19685,4.467224,7.15117,groupB
8.627032,7.026841,6.189076,groupA
5.380362,5.344409,1.812188,groupB
9.874246,3.717901,5.516397,groupB
7.165903,3.532867,8.318723,groupA
0.068952,3.200328,4.463162,groupA
0.489014,4.845252,4.105963,groupA
6.780153,5.191225,4.128567,groupA
5.869318,3.076613,0.858736,groupA
5.06586,4.533571,2.50517,groupB
2.30864,1.063116,5.242357,groupA
0.423605,8.788296,9.099688,groupB
3.62772,3.927542,4.196184,groupA
8.807474,1.222618,5.700627,groupA
5.979626,0.111503,3.618266,groupA
7.371362,9.657667,2.453941,groupB
7.528954,2.974798,6.278108,groupA
1.376597,8.457556,6.076136,groupA
4.213235,3.10243,2.834219,groupA
7.093986,4.972764,6.086183,groupA
1.638033,9.80608,8.667219,groupB
6.58593,2.150862,1.013642,groupA
0.346878,1.676167,6.813695,groupA
8.309289,0.343727,6.213582,groupA
7.760111,0.604557,1.307153,groupA
0.354418,9.75107,4.052309,groupB
3.603934,9.573722,7.298301,groupB
4.556315,0.275534,3.350789,groupA
9.264332,2.699513,0.401868,groupB
5.774786,0.235528,2.620472,groupA
6.47214,6.15113,9.674991,groupB
9.818187,8.537865,4.277115,groupA
0.644813,7.043,5.033419,groupA
2.895348,9.8371,6.446914,groupB
6.118417,7.92108,0.115443,groupB
5.763681,7.148986,2.535184,groupA
5.414836,2.090252,5.753164,groupB
4.148619,3.694541,7.234052,groupA
5.357874,7.918723,7.571137,groupB
7.940544,1.417856,1.29991,groupB
5.064283,9.699114,9.790486,groupB
6.121112,8.942371,4.28137,groupB
5.46296,0.012424,2.498991,groupA
4.389593,1.075245,5.627002,groupB
6.465287,8.930506,3.443262,groupB
4.006162,5.259807,3.18994,groupB
5.701328,1.148506,3.113969,groupA
7.487717,6.113979,1.742876,groupB
5.937174,5.318976,8.202198,groupB
2.366673,3.534734,0.841373,groupA
9.187642,1.207001,3.392834,groupB
7.168785,9.427595,6.25286,groupB
6.673358,3.174516,6.117186,groupB
9.727976,8.991648,1.529008,groupB
3.778907,9.772207,2.497015,groupB
0.281751,4.781235,2.970827,groupB
6.227686,4.752467,4.582145,groupB
1.712071,9.274512,7.646243,groupB
1.282102,6.150418,6.345783,groupA
8.961301,7.883135,5.02845,groupB
0.937512,9.259881,6.183304,groupB
8.821482,0.927965,6.646145,groupB
0.218066,2.704108,0.951007,groupA
8.213223,4.382697,3.492335,groupB
0.550915,4.320021,5.456152,groupA
8.210812,5.313248,1.235957,groupB
2.431354,8.667498,7.112592,groupB
5.12818,2.2538,4.857708,groupA
4.795022,3.951706,8.603819,groupB
0.69257,1.027547,5.836948,groupA
3.680835,8.557067,4.054047,groupB
5.376285,7.200518,0.421593,groupB
2.384387,7.690257,1.563439,groupB
3.375315,8.634615,2.319755,groupB
3.312242,4.929917,8.529155,groupA
6.012141,0.136081,3.059426,groupA
5.079253,1.129364,5.730172,groupA
7.509908,2.19702,6.732555,groupB
9.617845,3.254731,7.42542,groupB
1.715898,1.34309,6.697866,groupA
5.263912,5.939065,3.467471,groupB
9.825605,3.431081,5.207163,groupB
0.53959,8.069701,8.594194,groupA
6.95924,9.250472,1.623487,groupB
5.369206,7.949143,8.897405,groupB
2.592578,8.958493,7.208528,groupB
5.074007,5.278433,2.810561,groupB
2.233588,4.706321,3.490679,groupA
3.898487,1.908036,4.870464,groupA
3.290625,0.246238,2.756714,groupA
8.787134,8.591289,1.762016,groupB
4.397553,7.749887,4.760244,groupB
3.264716,6.357105,8.298194,groupB
3.753587,3.520056,3.886826,groupA
8.036733,6.812599,3.730697,groupB
0.846874,0.973899,6.549,groupA
3.883164,8.114826,1.875839,groupB
2.372289,2.786565,0.329613,groupA
6.211841,8.30405,2.210684,groupB
4.006506,6.121978,4.205368,groupB
1.60856,3.154948,6.651363,groupA
1.971246,0.653852,2.82069,groupA
2.014885,4.765432,8.724206,groupA
6.48385,2.305926,7.020226,groupA
8.620407,5.290367,2.780859,groupB
2.640556,6.917674,1.425051,groupB
3.601226,6.053737,1.297208,groupA
0.965577,0.5935,7.478858,groupA
3.052175,0.737735,3.361357,groupA
9.637417,4.866524,9.360396,groupA
3.421384,3.541998,4.74774,groupA
0.918234,0.367205,7.469869,groupA
9.179609,1.12758,1.507044,groupA
4.723527,6.408964,7.800804,groupB
0.641809,1.275533,9.546133,groupA
4.663639,4.165567,2.470689,groupB
6.824509,9.225824,4.234297,groupB
7.445999,3.864418,3.543582,groupB
0.904676,1.534747,7.533697,groupB
3.211518,5.285955,2.475414,groupA
7.1311,6.023491,8.488865,groupB
5.08978,3.476904,7.947235,groupB
5.372847,6.322966,6.340159,groupB
1.080325,3.566854,3.336938,groupA
